ido;idd
1;2
1;8
2;4
2;5
4;3
4;5
3;6
3;5
6;5
5;7
7;8
8;9
9;20
9;36
9;15
10;2
10;14
10;24
10;31
11;10
11;16
11;19
11;23
12;9
12;14
12;28
13;5
13;10
13;33
14;13
14;12
14;24
15;14
15;18
15;36
16;4
16;19
16;38
17;16
17;20
17;33
18;16
18;29
19;18
19;22
19;36
20;19
20;15
20;29
21;15
21;26
21;30
22;12
22;32
23;16
23;30
24;17
24;37
25;12
25;31
26;9
26;30
27;19
27;33
28;22
28;34
29;13
29;21
30;18
30;25
31;18
31;37
32;17
32;28
33;13
33;30
34;18
34;25
35;14
35;29
36;16
36;28
37;21
37;31
38;13
38;22
